application,year,value,country,program_type,program_name,unit,currency
Total,2019,220.2306295829262,Belgium,Civil,ESA,million,USD
Total,2020,193.3746328118456,Belgium,Civil,ESA,million,USD
Total,2019,61.16173379634614,Austria,Civil,ESA,million,USD
Total,2020,50.24525859939643,Austria,Civil,ESA,million,USD
Total,2019,1.513415078031591,Bulgaria,Civil,ESA,million,USD
Total,2020,1.513415078031591,Bulgaria,Civil,ESA,million,USD
Total,2019,42.00864092247905,Czech Republic,Civil,ESA,million,USD
Total,2020,34.51071275362116,Czech Republic,Civil,ESA,million,USD
Total,2019,39.71156305751321,Denmark,Civil,ESA,million,USD
Total,2020,32.62362970047441,Denmark,Civil,ESA,million,USD
Total,2019,3.418465536834144,Estonia,Civil,ESA,million,USD
Total,2020,2.808319422128895,Estonia,Civil,ESA,million,USD
Total,2019,25.82898025564143,Finland,Civil,ESA,million,USD
Total,2020,21.21888494241703,Finland,Civil,ESA,million,USD
Total,2019,1324.097331859359,France,Civil,ESA,million,USD
Total,2020,1181.266778698448,France,Civil,ESA,million,USD
Total,2019,1044.740967120691,Germany,Civil,ESA,million,USD
Total,2020,933.2427931354287,Germany,Civil,ESA,million,USD
Total,2019,13.25284976916962,Greece,Civil,ESA,million,USD
Total,2020,10.88740986395418,Greece,Civil,ESA,million,USD
Total,2019,8.059933288772909,Hungary,Civil,ESA,million,USD
Total,2020,8.059933288772909,Hungary,Civil,ESA,million,USD
Total,2019,22.47121282240805,Ireland,Civil,ESA,million,USD
Total,2020,18.46042989990282,Ireland,Civil,ESA,million,USD
Total,2019,1.575656853111098,Lithuania,Civil,ESA,million,USD
Total,2020,1.60461447040094,Lithuania,Civil,ESA,million,USD
Total,2019,34.28797128936399,Luxembourg,Civil,ESA,million,USD
Total,2020,28.16806976105861,Luxembourg,Civil,ESA,million,USD
Total,2019,117.5218601631685,Netherlands,Civil,ESA,million,USD
Total,2020,96.54592648799752,Netherlands,Civil,ESA,million,USD
Total,2019,89.22113163909192,Norway,Civil,ESA,million,USD
Total,2020,73.29646420201351,Norway,Civil,ESA,million,USD
Total,2019,656.9776548714948,Italy,Civil,ESA,million,USD
Total,2020,539.7167495767643,Italy,Civil,ESA,million,USD
Total,2019,44.67767859719576,Poland,Civil,ESA,million,USD
Total,2020,36.70336622914582,Poland,Civil,ESA,million,USD
Total,2019,23.40105611161114,Portugal,Civil,ESA,million,USD
Total,2020,19.22430975782983,Portugal,Civil,ESA,million,USD
Total,2019,53.82111177871256,Romania,Civil,ESA,million,USD
Total,2020,44.21483027987649,Romania,Civil,ESA,million,USD
Total,2019,1.566157557445148,Slovak Republic,Civil,ESA,million,USD
Total,2020,1.58532504230594,Slovak Republic,Civil,ESA,million,USD
Total,2019,3.537278846010094,Slovenia,Civil,ESA,million,USD
Total,2020,2.905926292864013,Slovenia,Civil,ESA,million,USD
Total,2019,227.6320519451835,Spain,Civil,ESA,million,USD
Total,2020,242.2816394466062,Spain,Civil,ESA,million,USD
Total,2019,192.9127791823475,Switzerland,Civil,ESA,million,USD
Total,2020,158.4806688021713,Switzerland,Civil,ESA,million,USD
Total,2019,93.4165769048873,Sweden,Civil,ESA,million,USD
Total,2020,76.74308383221258,Sweden,Civil,ESA,million,USD
Total,2019,432.2204975433342,United Kingdom,Civil,ESA,million,USD
Total,2020,355.0754585103343,United Kingdom,Civil,ESA,million,USD
Total,2019,36.91346516829162,Canada,Civil,ESA,million,USD
Total,2020,30.32495137166024,Canada,Civil,ESA,million,USD
Internal operations,1999,9.146599017050944,Belgium,Civil,ESA,million,USD
Telecommunications,1999,16.00155,Belgium,Civil,ESA,million,USD
Navigation,1999,3.814059001977263,Belgium,Civil,ESA,million,USD
Earth Observation,1999,10.11490944116029,Belgium,Civil,ESA,million,USD
Meteorology,1999,0.1998257315726432,Belgium,Civil,ESA,million,USD
Space Science and exploration,1999,12.6926661509999,Belgium,Civil,ESA,million,USD
Technology,1999,14.04925040751716,Belgium,Civil,ESA,million,USD
Human Spaceflight,1999,30.93633,Belgium,Civil,ESA,million,USD
Launch vehicles,1999,61.87266,Belgium,Civil,ESA,million,USD
Internal operations,2000,7.930362086345472,Belgium,Civil,ESA,million,USD
Telecommunications,2000,13.8738,Belgium,Civil,ESA,million,USD
Navigation,2000,3.306897880619824,Belgium,Civil,ESA,million,USD
Earth Observation,2000,8.76991482729921,Belgium,Civil,ESA,million,USD
Meteorology,2000,0.1732546056283633,Belgium,Civil,ESA,million,USD
Space Science and exploration,2000,11.00490337784417,Belgium,Civil,ESA,million,USD
Technology,2000,12.18110059986761,Belgium,Civil,ESA,million,USD
Human Spaceflight,2000,26.82268,Belgium,Civil,ESA,million,USD
Launch vehicles,2000,55.4952,Belgium,Civil,ESA,million,USD
Internal operations,2001,7.686685994906279,Belgium,Civil,ESA,million,USD
Telecommunications,2001,16.137,Belgium,Civil,ESA,million,USD
Navigation,2001,3.205286889650643,Belgium,Civil,ESA,million,USD
Earth Observation,2001,8.500441814074453,Belgium,Civil,ESA,million,USD
Meteorology,2001,0.1679310145156637,Belgium,Civil,ESA,million,USD
Space Science and exploration,2001,9.8615,Belgium,Civil,ESA,million,USD
Technology,2001,11.80681214351654,Belgium,Civil,ESA,million,USD
Human Spaceflight,2001,28.4446824323179,Belgium,Civil,ESA,million,USD
Launch vehicles,2001,56.01286186132914,Belgium,Civil,ESA,million,USD
Internal operations,2002,8.069351864163066,Belgium,Civil,ESA,million,USD
Telecommunications,2002,16.94034739005714,Belgium,Civil,ESA,million,USD
Navigation,2002,3.364855511896737,Belgium,Civil,ESA,million,USD
Earth Observation,2002,8.923618844852747,Belgium,Civil,ESA,million,USD
Meteorology,2002,0.1762911150436929,Belgium,Civil,ESA,million,USD
Space Science and exploration,2002,11.19777843937816,Belgium,Civil,ESA,million,USD
Technology,2002,12.39459002790577,Belgium,Civil,ESA,million,USD
Human Spaceflight,2002,29.86074250500842,Belgium,Civil,ESA,million,USD
Launch vehicles,2002,58.80134710554618,Belgium,Civil,ESA,million,USD
Internal operations,2003,9.676949148644628,Belgium,Civil,ESA,million,USD
Telecommunications,2003,21.33691666112309,Belgium,Civil,ESA,million,USD
Navigation,2003,4.035210786354589,Belgium,Civil,ESA,million,USD
Earth Observation,2003,10.70140542105153,Belgium,Civil,ESA,million,USD
Meteorology,2003,0.2114122899029902,Belgium,Civil,ESA,million,USD
Space Science and exploration,2003,13.42862901008104,Belgium,Civil,ESA,million,USD
Technology,2003,14.86387251881004,Belgium,Civil,ESA,million,USD
Human Spaceflight,2003,35.8096773602161,Belgium,Civil,ESA,million,USD
Launch vehicles,2003,70.51590454733373,Belgium,Civil,ESA,million,USD
Internal operations,2004,10.73730469181763,Belgium,Civil,ESA,million,USD
Telecommunications,2004,23.6749177716292,Belgium,Civil,ESA,million,USD
Navigation,2004,4.477370609606515,Belgium,Civil,ESA,million,USD
Earth Observation,2004,11.87401616681979,Belgium,Civil,ESA,million,USD
Meteorology,2004,0.2345778754661768,Belgium,Civil,ESA,million,USD
Space Science and exploration,2004,14.90007636289136,Belgium,Civil,ESA,million,USD
Technology,2004,16.49258724865282,Belgium,Civil,ESA,million,USD
Human Spaceflight,2004,39.73353696771029,Belgium,Civil,ESA,million,USD
Launch vehicles,2004,78.24271277171057,Belgium,Civil,ESA,million,USD
Internal operations,2005,10.75392900702098,Belgium,Civil,ESA,million,USD
Telecommunications,2005,23.71157308753439,Belgium,Civil,ESA,million,USD
Navigation,2005,4.484302816750922,Belgium,Civil,ESA,million,USD
Earth Observation,2005,11.89240042554696,Belgium,Civil,ESA,million,USD
Meteorology,2005,0.2349410668492483,Belgium,Civil,ESA,million,USD
Space Science and exploration,2005,14.92314579913446,Belgium,Civil,ESA,million,USD
Technology,2005,16.51812233187992,Belgium,Civil,ESA,million,USD
Human Spaceflight,2005,39.79505546435855,Belgium,Civil,ESA,million,USD
Launch vehicles,2005,78.36385411554082,Belgium,Civil,ESA,million,USD
Internal operations,2006,12.22945234754191,Belgium,Civil,ESA,million,USD
Telecommunications,2006,24.18338658612831,Belgium,Civil,ESA,million,USD
Navigation,2006,5.112553299241892,Belgium,Civil,ESA,million,USD
Earth Observation,2006,14.09984954865157,Belgium,Civil,ESA,million,USD
Meteorology,2006,0.4158611890412828,Belgium,Civil,ESA,million,USD
Space Science and exploration,2006,27.59863060612865,Belgium,Civil,ESA,million,USD
Technology,2006,62.58389857826788,Belgium,Civil,ESA,million,USD
Human Spaceflight,2006,33.87104665297608,Belgium,Civil,ESA,million,USD
Launch vehicles,2006,23.39364324232263,Belgium,Civil,ESA,million,USD
Internal operations,2007,13.68327983040052,Belgium,Civil,ESA,million,USD
Telecommunications,2007,16.11237391562528,Belgium,Civil,ESA,million,USD
Navigation,2007,16.74830300339643,Belgium,Civil,ESA,million,USD
Earth Observation,2007,46.53021580138986,Belgium,Civil,ESA,million,USD
Meteorology,2007,0.02264283437488205,Belgium,Civil,ESA,million,USD
Space Science and exploration,2007,28.74200356400844,Belgium,Civil,ESA,million,USD
Technology,2007,33.35339337837912,Belgium,Civil,ESA,million,USD
Human Spaceflight,2007,21.89866938210167,Belgium,Civil,ESA,million,USD
Launch vehicles,2007,49.33069739211081,Belgium,Civil,ESA,million,USD
Internal operations,2008,15.17234022302759,Belgium,Civil,ESA,million,USD
Telecommunications,2008,16.8334803036437,Belgium,Civil,ESA,million,USD
Navigation,2008,13.46135439851143,Belgium,Civil,ESA,million,USD
Earth Observation,2008,9.751789386194982,Belgium,Civil,ESA,million,USD
Space Science and exploration,2008,29.29651737649687,Belgium,Civil,ESA,million,USD
Technology,2008,70.47159632711809,Belgium,Civil,ESA,million,USD
Human Spaceflight,2008,20.50756216354781,Belgium,Civil,ESA,million,USD
Launch vehicles,2008,64.72081075185937,Belgium,Civil,ESA,million,USD
Internal operations,2009,12.50272628892689,Belgium,Civil,ESA,million,USD
Telecommunications,2009,8.335150859284594,Belgium,Civil,ESA,million,USD
Navigation,2009,15.28110990868842,Belgium,Civil,ESA,million,USD
Earth Observation,2009,12.50272628892689,Belgium,Civil,ESA,million,USD
Meteorology,2009,1.389191809880766,Belgium,Civil,ESA,million,USD
Space Science and exploration,2009,20.83787714821149,Belgium,Civil,ESA,million,USD
Technology,2009,75.01635773356135,Belgium,Civil,ESA,million,USD
Human Spaceflight,2009,40.2865624865422,Belgium,Civil,ESA,million,USD
Launch vehicles,2009,36.1189870568999,Belgium,Civil,ESA,million,USD
Space security,2009,2.778383619761531,Belgium,Civil,ESA,million,USD
Other,2009,0.0001389191809880766,Belgium,Civil,ESA,million,USD
Internal operations,2010,12.41502478959608,Belgium,Civil,ESA,million,USD
Telecommunications,2010,34.02757868876105,Belgium,Civil,ESA,million,USD
Navigation,2010,3.40332075039869,Belgium,Civil,ESA,million,USD
Earth Observation,2010,16.86592897717353,Belgium,Civil,ESA,million,USD
Meteorology,2010,1.075167280639679,Belgium,Civil,ESA,million,USD
Space Science and exploration,2010,22.51521432497401,Belgium,Civil,ESA,million,USD
Technology,2010,31.85999081549411,Belgium,Civil,ESA,million,USD
Human Spaceflight,2010,34.43503367348966,Belgium,Civil,ESA,million,USD
Launch vehicles,2010,52.79075877481549,Belgium,Civil,ESA,million,USD
Space security,2010,1.920334549015363,Belgium,Civil,ESA,million,USD
Other,2010,0.0001324424372057295,Belgium,Civil,ESA,million,USD
Internal operations,2011,13.1492795629418,Belgium,Civil,ESA,million,USD
Telecommunications,2011,36.90945360774582,Belgium,Civil,ESA,million,USD
Navigation,2011,1.123228447706626,Belgium,Civil,ESA,million,USD
Earth Observation,2011,16.60098282489174,Belgium,Civil,ESA,million,USD
Space Science and exploration,2011,22.1726407684662,Belgium,Civil,ESA,million,USD
Technology,2011,64.11299010919504,Belgium,Civil,ESA,million,USD
Human Spaceflight,2011,29.19281856663261,Belgium,Civil,ESA,million,USD
Launch vehicles,2011,43.64882429398559,Belgium,Civil,ESA,million,USD
Space security,2011,2.482779712381231,Belgium,Civil,ESA,million,USD
Internal operations,2012,12.14194122015588,Belgium,Civil,ESA,million,USD
Telecommunications,2012,35.333691381406,Belgium,Civil,ESA,million,USD
Navigation,2012,1.2848615047784,Belgium,Civil,ESA,million,USD
Earth Observation,2012,14.90439345542944,Belgium,Civil,ESA,million,USD
Space Science and exploration,2012,27.88149465369128,Belgium,Civil,ESA,million,USD
Technology,2012,57.56179541407231,Belgium,Civil,ESA,million,USD
Human Spaceflight,2012,16.7031995621192,Belgium,Civil,ESA,million,USD
Launch vehicles,2012,41.24405430338664,Belgium,Civil,ESA,million,USD
Space security,2012,2.31275070860112,Belgium,Civil,ESA,million,USD
Internal operations,2013,12.21521617613279,Belgium,Civil,ESA,million,USD
Telecommunications,2013,52.44576510404841,Belgium,Civil,ESA,million,USD
Navigation,2013,0.3983222666130259,Belgium,Civil,ESA,million,USD
Earth Observation,2013,15.26902022016599,Belgium,Civil,ESA,million,USD
Meteorology,2013,5.045415377098328,Belgium,Civil,ESA,million,USD
Space Science and exploration,2013,30.670814529203,Belgium,Civil,ESA,million,USD
Technology,2013,60.54498452517994,Belgium,Civil,ESA,million,USD
Human Spaceflight,2013,14.60514977581095,Belgium,Civil,ESA,million,USD
Launch vehicles,2013,38.5044857725925,Belgium,Civil,ESA,million,USD
Space security,2013,1.327740888710086,Belgium,Civil,ESA,million,USD
Internal operations,2014,12.91574845667751,Belgium,Civil,ESA,million,USD
Telecommunications,2014,35.28447151569989,Belgium,Civil,ESA,million,USD
Navigation,2014,1.016277690581918,Belgium,Civil,ESA,million,USD
Earth Observation,2014,16.78582942720944,Belgium,Civil,ESA,million,USD
Meteorology,2014,6.478438594140349,Belgium,Civil,ESA,million,USD
Space Science and exploration,2014,28.28330001021585,Belgium,Civil,ESA,million,USD
Technology,2014,71.062487810638,Belgium,Civil,ESA,million,USD
Human Spaceflight,2014,13.09220398258795,Belgium,Civil,ESA,million,USD
Launch vehicles,2014,56.26941176626674,Belgium,Civil,ESA,million,USD
Space security,2014,3.072714270741153,Belgium,Civil,ESA,million,USD
Internal operations,2015,9.981600582925473,Belgium,Civil,ESA,million,USD
Telecommunications,2015,29.94480174877642,Belgium,Civil,ESA,million,USD
Earth Observation,2015,13.30880077723397,Belgium,Civil,ESA,million,USD
Meteorology,2015,5.545333657180819,Belgium,Civil,ESA,million,USD
Space Science and exploration,2015,21.07226789728711,Belgium,Civil,ESA,million,USD
Technology,2015,57.67147003468052,Belgium,Civil,ESA,million,USD
Human Spaceflight,2015,12.1997340457978,Belgium,Civil,ESA,million,USD
Launch vehicles,2015,42.14453579457422,Belgium,Civil,ESA,million,USD
Space security,2015,3.327200194308491,Belgium,Civil,ESA,million,USD
Internal operations,2016,11.20642453002373,Belgium,Civil,ESA,million,USD
Telecommunications,2016,29.13493393507995,Belgium,Civil,ESA,million,USD
Navigation,2016,0.1891519686737792,Belgium,Civil,ESA,million,USD
Earth Observation,2016,13.27382236307223,Belgium,Civil,ESA,million,USD
Meteorology,2016,6.903493780661146,Belgium,Civil,ESA,million,USD
Space Science and exploration,2016,24.24353039428783,Belgium,Civil,ESA,million,USD
Technology,2016,54.49014695227508,Belgium,Civil,ESA,million,USD
Human Spaceflight,2016,12.5492928924212,Belgium,Civil,ESA,million,USD
Launch vehicles,2016,54.64390206131399,Belgium,Civil,ESA,million,USD
Space security,2016,3.283058731133197,Belgium,Civil,ESA,million,USD
Internal operations,2017,10.88410661194916,Belgium,Civil,ESA,million,USD
Telecommunications,2017,31.03586835882532,Belgium,Civil,ESA,million,USD
Navigation,2017,0.7543440226103377,Belgium,Civil,ESA,million,USD
Earth Observation,2017,14.11700956599346,Belgium,Civil,ESA,million,USD
Meteorology,2017,3.556193249448734,Belgium,Civil,ESA,million,USD
Space Science and exploration,2017,29.41941688180317,Belgium,Civil,ESA,million,USD
Technology,2017,51.94197412831183,Belgium,Civil,ESA,million,USD
Human Spaceflight,2017,15.41017074761118,Belgium,Civil,ESA,million,USD
Launch vehicles,2017,61.85620985404768,Belgium,Civil,ESA,million,USD
Space security,2017,2.909612658639874,Belgium,Civil,ESA,million,USD
Internal operations,2018,10.61516135418119,Belgium,Civil,ESA,million,USD
Telecommunications,2018,22.07953561669687,Belgium,Civil,ESA,million,USD
Navigation,2018,0.4246064541672475,Belgium,Civil,ESA,million,USD
Earth Observation,2018,27.81172274795471,Belgium,Civil,ESA,million,USD
Meteorology,2018,5.201429063548782,Belgium,Civil,ESA,million,USD
Space Science and exploration,2018,22.18568723023868,Belgium,Civil,ESA,million,USD
Technology,2018,60.82487455945821,Belgium,Civil,ESA,million,USD
Human Spaceflight,2018,15.60428719064635,Belgium,Civil,ESA,million,USD
Launch vehicles,2018,49.46665191048434,Belgium,Civil,ESA,million,USD
Space security,2018,1.69842581666899,Belgium,Civil,ESA,million,USD
Internal operations,2001,4.356990000000001,Austria,Civil,ESA,million,USD
Telecommunications,2001,1.873685,Austria,Civil,ESA,million,USD
Earth Observation,2001,3.092925,Austria,Civil,ESA,million,USD
Space Science and exploration,2001,8.113325000000001,Austria,Civil,ESA,million,USD
Technology,2001,1.981265,Austria,Civil,ESA,million,USD
Launch vehicles,2001,3.06603,Austria,Civil,ESA,million,USD
Internal operations,2002,4.818587702060699,Austria,Civil,ESA,million,USD
Telecommunications,2002,3.585706864228763,Austria,Civil,ESA,million,USD
Earth Observation,2002,4.931523351327748,Austria,Civil,ESA,million,USD
Space Science and exploration,2002,8.752512818196193,Austria,Civil,ESA,million,USD
Technology,2002,0.8752512818196192,Austria,Civil,ESA,million,USD
Human Spaceflight,2002,0.3576295560123176,Austria,Civil,ESA,million,USD
Launch vehicles,2002,2.202245160707429,Austria,Civil,ESA,million,USD
Internal operations,2003,6.771749165381915,Austria,Civil,ESA,million,USD
Telecommunications,2003,5.68036892489453,Austria,Civil,ESA,million,USD
Earth Observation,2003,8.708469426681143,Austria,Civil,ESA,million,USD
Space Science and exploration,2003,11.39911109505956,Austria,Civil,ESA,million,USD
Technology,2003,0.9028998887175887,Austria,Civil,ESA,million,USD
Human Spaceflight,2003,0.4175911985318848,Austria,Civil,ESA,million,USD
Launch vehicles,2003,2.033781999336369,Austria,Civil,ESA,million,USD
Internal operations,2004,5.922780354249315,Austria,Civil,ESA,million,USD
Telecommunications,2004,8.3937096844288,Austria,Civil,ESA,million,USD
Earth Observation,2004,9.300130996504691,Austria,Civil,ESA,million,USD
Space Science and exploration,2004,10.6163044085601,Austria,Civil,ESA,million,USD
Technology,2004,3.737435821025249,Austria,Civil,ESA,million,USD
Human Spaceflight,2004,0.8940045817734815,Austria,Civil,ESA,million,USD
Launch vehicles,2004,1.353423602962632,Austria,Civil,ESA,million,USD
Internal operations,2005,6.054526140377059,Austria,Civil,ESA,million,USD
Telecommunications,2005,5.598617370541711,Austria,Civil,ESA,million,USD
Navigation,2005,2.48719096652241,Austria,Civil,ESA,million,USD
Earth Observation,2005,10.53829873650699,Austria,Civil,ESA,million,USD
Space Science and exploration,2005,10.85917339451823,Austria,Civil,ESA,million,USD
Technology,2005,1.073985226085659,Austria,Civil,ESA,million,USD
Human Spaceflight,2005,0.8846790901855445,Austria,Civil,ESA,million,USD
Launch vehicles,2005,1.422939138437049,Austria,Civil,ESA,million,USD
Internal operations,2006,6.836933491063688,Austria,Civil,ESA,million,USD
Telecommunications,2006,4.817215523978819,Austria,Civil,ESA,million,USD
Space Science and exploration,2006,11.27780405223166,Austria,Civil,ESA,million,USD
Technology,2006,1.373659114259585,Austria,Civil,ESA,million,USD
Human Spaceflight,2006,4.132267691663081,Austria,Civil,ESA,million,USD
Launch vehicles,2006,2.734773396425476,Austria,Civil,ESA,million,USD
Internal operations,2007,7.429810658629854,Austria,Civil,ESA,million,USD
Telecommunications,2007,4.778505908534733,Austria,Civil,ESA,million,USD
Navigation,2007,3.737637516800385,Austria,Civil,ESA,million,USD
Earth Observation,2007,7.045046931585819,Austria,Civil,ESA,million,USD
Meteorology,2007,0.115363558971748,Austria,Civil,ESA,million,USD
Space Science and exploration,2007,13.09508402245709,Austria,Civil,ESA,million,USD
Technology,2007,6.711256463529135,Austria,Civil,ESA,million,USD
Human Spaceflight,2007,1.367114768188898,Austria,Civil,ESA,million,USD
Launch vehicles,2007,1.259415743500885,Austria,Civil,ESA,million,USD
Internal operations,2008,7.920815908008935,Austria,Civil,ESA,million,USD
Telecommunications,2008,5.330767934961731,Austria,Civil,ESA,million,USD
Navigation,2008,4.801078111839455,Austria,Civil,ESA,million,USD
Earth Observation,2008,6.093756179734133,Austria,Civil,ESA,million,USD
Space Science and exploration,2008,14.8266979162852,Austria,Civil,ESA,million,USD
Technology,2008,5.4753623612993,Austria,Civil,ESA,million,USD
Human Spaceflight,2008,0.7248427143223349,Austria,Civil,ESA,million,USD
Launch vehicles,2008,2.872941004138133,Austria,Civil,ESA,million,USD
Internal operations,2009,7.987852906814402,Austria,Civil,ESA,million,USD
Telecommunications,2009,6.1680116358706,Austria,Civil,ESA,million,USD
Navigation,2009,10.39115473790813,Austria,Civil,ESA,million,USD
Earth Observation,2009,10.00218103114151,Austria,Civil,ESA,million,USD
Meteorology,2009,0.0001389191809880766,Austria,Civil,ESA,million,USD
Space Science and exploration,2009,13.42098207525808,Austria,Civil,ESA,million,USD
Technology,2009,7.154337820885943,Austria,Civil,ESA,million,USD
Human Spaceflight,2009,1.042032776591562,Austria,Civil,ESA,million,USD
Launch vehicles,2009,3.125681572231723,Austria,Civil,ESA,million,USD
Internal operations,2010,7.774032011337073,Austria,Civil,ESA,million,USD
Telecommunications,2010,13.08882252051202,Austria,Civil,ESA,million,USD
Navigation,2010,0.977000046354853,Austria,Civil,ESA,million,USD
Earth Observation,2010,18.54095848591806,Austria,Civil,ESA,million,USD
Meteorology,2010,0.9424537610341106,Austria,Civil,ESA,million,USD
Space Science and exploration,2010,15.11522227152024,Austria,Civil,ESA,million,USD
Technology,2010,4.432153050480435,Austria,Civil,ESA,million,USD
Human Spaceflight,2010,1.573070479242959,Austria,Civil,ESA,million,USD
Launch vehicles,2010,4.322555609268321,Austria,Civil,ESA,million,USD
Space security,2010,0.2494526816282473,Austria,Civil,ESA,million,USD
Internal operations,2011,8.262957788574488,Austria,Civil,ESA,million,USD
Telecommunications,2011,13.51488486213344,Austria,Civil,ESA,million,USD
Navigation,2011,0.443452815369324,Austria,Civil,ESA,million,USD
Earth Observation,2011,19.78578031708962,Austria,Civil,ESA,million,USD
Space Science and exploration,2011,16.63017564345838,Austria,Civil,ESA,million,USD
Technology,2011,11.20587192693455,Austria,Civil,ESA,million,USD
Human Spaceflight,2011,1.233905373563818,Austria,Civil,ESA,million,USD
Launch vehicles,2011,3.606008160087856,Austria,Civil,ESA,million,USD
Space security,2011,0.4239909363249022,Austria,Civil,ESA,million,USD
Internal operations,2012,7.96614132962608,Austria,Civil,ESA,million,USD
Telecommunications,2012,11.30678124204992,Austria,Civil,ESA,million,USD
Navigation,2012,0.005139446019113599,Austria,Civil,ESA,million,USD
Earth Observation,2012,19.52989487263168,Austria,Civil,ESA,million,USD
Space Science and exploration,2012,17.9880610668976,Austria,Civil,ESA,million,USD
Technology,2012,5.139446019113599,Austria,Civil,ESA,million,USD
Human Spaceflight,2012,1.2848615047784,Austria,Civil,ESA,million,USD
Launch vehicles,2012,3.8545845143352,Austria,Civil,ESA,million,USD
Space security,2012,0.2389842398887824,Austria,Civil,ESA,million,USD
Internal operations,2013,8.350162449097732,Austria,Civil,ESA,million,USD
Telecommunications,2013,6.671897965768185,Austria,Civil,ESA,million,USD
Navigation,2013,0.6877697803518248,Austria,Civil,ESA,million,USD
Earth Observation,2013,22.04182649347614,Austria,Civil,ESA,million,USD
Space Science and exploration,2013,14.93841273887718,Austria,Civil,ESA,million,USD
Technology,2013,8.024865931363761,Austria,Civil,ESA,million,USD
Human Spaceflight,2013,0.706358152793766,Austria,Civil,ESA,million,USD
Launch vehicles,2013,4.580706066049799,Austria,Civil,ESA,million,USD
Space security,2013,0.4660370519372403,Austria,Civil,ESA,million,USD
Internal operations,2014,8.374340447719412,Austria,Civil,ESA,million,USD
Telecommunications,2014,8.362399848221713,Austria,Civil,ESA,million,USD
Navigation,2014,1.545644268313231,Austria,Civil,ESA,million,USD
Earth Observation,2014,13.42123383541343,Austria,Civil,ESA,million,USD
Meteorology,2014,4.841249729678094,Austria,Civil,ESA,million,USD
Space Science and exploration,2014,16.61600756768661,Austria,Civil,ESA,million,USD
Technology,2014,7.760062940226685,Austria,Civil,ESA,million,USD
Human Spaceflight,2014,0.3701585844286622,Austria,Civil,ESA,million,USD
Launch vehicles,2014,4.733784334198806,Austria,Civil,ESA,million,USD
Space security,2014,0.413940782586891,Austria,Civil,ESA,million,USD
Internal operations,2015,7.149044150837511,Austria,Civil,ESA,million,USD
Telecommunications,2015,7.121317482551608,Austria,Civil,ESA,million,USD
Navigation,2015,0.5245885639693054,Austria,Civil,ESA,million,USD
Earth Observation,2015,9.91062031211356,Austria,Civil,ESA,million,USD
Meteorology,2015,5.756056336153691,Austria,Civil,ESA,million,USD
Space Science and exploration,2015,14.15169149312545,Austria,Civil,ESA,million,USD
Technology,2015,7.984171399608943,Austria,Civil,ESA,million,USD
Human Spaceflight,2015,0.2717213492018601,Austria,Civil,ESA,million,USD
Launch vehicles,2015,3.735336751477,Austria,Civil,ESA,million,USD
Space security,2015,0.4510173691811474,Austria,Civil,ESA,million,USD
Internal operations,2016,8.627984535996946,Austria,Civil,ESA,million,USD
Telecommunications,2016,6.194450436100372,Austria,Civil,ESA,million,USD
Navigation,2016,0.3318455590768056,Austria,Civil,ESA,million,USD
Earth Observation,2016,12.72074643127755,Austria,Civil,ESA,million,USD
Meteorology,2016,9.181060467791623,Austria,Civil,ESA,million,USD
Space Science and exploration,2016,16.81350832655815,Austria,Civil,ESA,million,USD
Technology,2016,7.521832672407594,Austria,Civil,ESA,million,USD
Launch vehicles,2016,1.714535388563496,Austria,Civil,ESA,million,USD
Space security,2016,0.4498319977417956,Austria,Civil,ESA,million,USD
Internal operations,2017,7.302255923786085,Austria,Civil,ESA,million,USD
Telecommunications,2017,9.037668597031542,Austria,Civil,ESA,million,USD
Navigation,2017,0.502593540433425,Austria,Civil,ESA,million,USD
Earth Observation,2017,7.257180269935554,Austria,Civil,ESA,million,USD
Meteorology,2017,3.763817096519371,Austria,Civil,ESA,million,USD
Space Science and exploration,2017,15.69376502287026,Austria,Civil,ESA,million,USD
Technology,2017,4.590955344676622,Austria,Civil,ESA,million,USD
Launch vehicles,2017,4.501930928321823,Austria,Civil,ESA,million,USD
Space security,2017,0.423711146194995,Austria,Civil,ESA,million,USD
Internal operations,2018,7.196328137237336,Austria,Civil,ESA,million,USD
Telecommunications,2018,9.15035773165787,Austria,Civil,ESA,million,USD
Navigation,2018,0.5262582587049539,Austria,Civil,ESA,million,USD
Earth Observation,2018,6.904463278555145,Austria,Civil,ESA,million,USD
Meteorology,2018,3.948627277306549,Austria,Civil,ESA,million,USD
Space Science and exploration,2018,14.02754347828537,Austria,Civil,ESA,million,USD
Technology,2018,6.47737145832136,Austria,Civil,ESA,million,USD
Launch vehicles,2018,4.513199841784455,Austria,Civil,ESA,million,USD
Space security,2018,0.6242978058298597,Austria,Civil,ESA,million,USD
Internal operations,2016,1.4855619528005,Bulgaria,Civil,ESA,million,USD
Internal operations,2017,1.513415078031591,Bulgaria,Civil,ESA,million,USD
Internal operations,2018,1.513415078031591,Bulgaria,Civil,ESA,million,USD
Internal operations,2004,1.36763345946945,Czech Republic,Civil,ESA,million,USD
Internal operations,2005,1.369926357252954,Czech Republic,Civil,ESA,million,USD
Internal operations,2006,1.38100596917548,Czech Republic,Civil,ESA,million,USD
Internal operations,2007,1.505894030881654,Czech Republic,Civil,ESA,million,USD
Internal operations,2008,3.51315990406795,Czech Republic,Civil,ESA,million,USD
